"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2025";"Elst";;
"2025";"Emmen";109678;327
"2025";"Enkhuizen";18847;1488
"2025";"Enschede";162317;1153
"2025";"Epe";33469;214
"2025";"Ermelo";28131;328
"2025";"Esch";;
"2025";"Etten-Leur";45457;822
"2025";"Ferwerderadeel";;
"2025";"Ferwerderadiel";;
"2025";"Fijnaart en Heijningen";;
"2025";"Franekeradeel";;
"2025";"De Friese Meren";;
"2025";"De Fryske Marren";52235;149
"2025";"Gaasterlân-Sleat";;
"2025";"Gasselte";;
"2025";"Geertruidenberg";21944;825
"2025";"Geldermalsen";;
"2025";"Geldrop";;
"2025";"Geldrop-Mierlo";40754;1314
"2025";"Geleen";;
"2025";"Gemert";;
"2025";"Gemert-Bakel";31541;258
"2025";"Gendringen";;
"2025";"Gendt";;
"2025";"Genemuiden";;
"2025";"Gennep";17785;374
"2025";"Giessenlanden";;
"2025";"Gieten";;
"2025";"Gilze en Rijen";28531;436
"2025";"Goedereede";;
"2025";"Goeree-Overflakkee";52185;199
"2025";"Goes";40120;434
"2025";"Goirle";24468;569
"2025";"Gooise Meren";61003;1472
"2025";"Goor";;
"2025";"Gorinchem";38842;2076
"2025";"Gorssel";;
"2025";"Gouda";76514;4638
"2025";"Graafstroom";;
"2025";"Graft-De Rijp";;
"2025";"Gramsbergen";;
"2025";"Grave";;
"2025";"'s-Graveland";;
"2025";"'s-Gravendeel";;
"2025";"'s-Gravenhage (gemeente)";568945;6901
"2025";"'s-Gravenmoer";;
"2025";"'s-Gravenzande";;
"2025";"Groenlo";;
"2025";"Groesbeek";;
"2025";"Groningen (gemeente)";244441;1318
"2025";"Grootegast";;
"2025";"Grubbenvorst";;
"2025";"Gulpen";;
"2025";"Gulpen-Wittem";14017;192
"2025";"Haaksbergen";24225;231
"2025";"Haaren";;
"2025";"Haarlem";168743;5776
"2025";"Haarlemmerliede en Spaarnwoude";;
"2025";"Haarlemmermeer";165255;838
"2025";"Haelen";;
"2025";"Halderberge";31347;421
"2025";"Halsteren";;
"2025";"Den Ham";;
"2025";"Hardenberg";63415;203
"2025";"Harderwijk";50042;1286
"2025";"Hardinxveld-Giessendam";19123;1134
"2025";"Haren";;
"2025";"Harenkarspel";;
"2025";"Harlingen";16210;649
"2025";"Harmelen";;
"2025";"Hasselt";;
"2025";"Hattem";12745;552
"2025";"Havelte";;
"2025";"Hedel";;
"2025";"Heel";;
"2025";"Heemskerk";39380;1444
"2025";"Heemstede";27638;3013
"2025";"Heerde";19305;246
"2025";"Heerenveen";51863;273
"2025";"Heerewaarden";;
"2025";"Heerhugowaard";;
"2025";"Heerjansdam";;
"2025";"Heerlen";87522;1949
"2025";"Heesch";;
"2025";"Heeze";;
"2025";"Heeze-Leende";17075;164
"2025";"Heiloo";24341;1301
"2025";"Heino";;
"2025";"Helden";;
"2025";"Den Helder";56662;1256
"2025";"Hellendoorn";36213;263
"2025";"Hellevoetsluis";;
"2025";"Helmond";96551;1816
"2025";"Helvoirt";;
"2025";"Hendrik-Ido-Ambacht";32859;3226
"2025";"Hengelo (Gld.)";;
"2025";"Hengelo (O.)";83655;1375
"2025";"'s-Hertogenbosch";161530;1475
"2025";"Heteren";;
"2025";"Heumen";16861;424
"2025";"Heusden";46365;588
"2025";"Heythuysen";;
"2025";"Hillegom";22786;1773
"2025";"Hilvarenbeek";16149;170
"2025";"Hilversum";94393;2070
"2025";"Hoeksche Waard";90747;338
"2025";"Hoevelaken";;
"2025";"Hoeven";;
"2025";"Hof van Twente";35660;168
"2025";"Het Hogeland";48178;101
"2025";"Hollands Kroon";49982;140
"2025";"Holten";;
"2025";"Hontenisse";;
"2025";"Hooge en Lage Mierde";;
"2025";"Hooge en Lage Zwaluwe";;
"2025";"Hoogeloon, Hapert en Casteren";;
"2025";"Hoogeveen";56906;446
"2025";"Hoogezand-Sappemeer";;
"2025";"Hoorn";76036;3732
"2025";"Horst";;
"2025";"Horst aan de Maas";44242;234
"2025";"Houten";50945;928
"2025";"Huijbergen";;
"2025";"Huissen";;
"2025";"Huizen";41196;2606
"2025";"Hulst";27378;136
"2025";"Hummelo en Keppel";;
"2025";"Hunsel";;
"2025";"IJsselham";;
"2025";"IJsselmuiden";;
"2025";"IJsselstein";33339;1587
"2025";"Jacobswoude";;
"2025";"Kaag en Braassem";29316;464
"2025";"Kampen";56547;400
"2025";"Kapelle";13012;350
"2025";"Katwijk";67089;2704
"2025";"Kerkrade";45490;2076
"2025";"Kerkwijk";;
"2025";"Kessel";;
"2025";"Kesteren";;
"2025";"Klundert";;
"2025";"Koggenland";23821;297
"2025";"Kollumerland en Nieuwkruisland";;
"2025";"Korendijk";;
"2025";"Krimpen aan den IJssel";29793;3882
"2025";"Krimpenerwaard";57798;390
"2025";"Laarbeek";23324;421
"2025";"Land van Cuijk";92817;272
"2025";"Landerd";;
"2025";"Landgraaf";36839;1499
"2025";"Landsmeer";11745;523
"2025";"Langbroek";;
"2025";"Langedijk";;
"2025";"Lansingerland";66064;1240
"2025";"Laren (NH.)";11474;925
"2025";"Leek";;
"2025";"Leende";;
"2025";"Leerdam";;
"2025";"Leersum";;
"2025";"Leeuwarden";129973;547
"2025";"Leeuwarderadeel";;
"2025";"Leiden";130638;5978
"2025";"Leiderdorp";27751;2414
"2025";"Leidschendam";;
"2025";"Leidschendam-Voorburg";78318;2402
"2025";"Lelystad";84713;370
"2025";"Lemsterland";;
"2025";"Leudal";36108;222
"2025";"Leusden";31911;545
"2025";"Lichtenvoorde";;
"2025";"Liemeer";;
"2025";"Liempde";;
"2025";"Lienden";;
"2025";"De Lier";;
"2025";"Lieshout";;
"2025";"Liesveld";;
"2025";"Limmen";;
"2025";"Lingewaal";;
"2025";"Lingewaard";47684;770
"2025";"Lisse";23582;1502
"2025";"Lith";;
"2025";"Littenseradiel";;
"2025";"Lochem";34316;161
"2025";"Loenen";;
"2025";"Loon op Zand";24151;484
"2025";"Loosdrecht";;
"2025";"Lopik";14800;196
"2025";"Loppersum";;
"2025";"Losser";23469;238
"2025";"Luyksgestel";;
"2025";"Maarheeze";;
"2025";"Maarn";;
"2025";"Maarssen";;
"2025";"Maartensdijk";;
"2025";"Maasbracht";;
"2025";"Maasbree";;
"2025";"Maasdonk";;
"2025";"Maasdriel";26289;399
"2025";"Maasgouw";24502;536
"2025";"Maashorst";59671;435
"2025";"Maasland";;
"2025";"Maassluis";36436;4315
"2025";"Maastricht";125563;2251
"2025";"Made";;
"2025";"Made en Drimmelen";;
"2025";"Margraten";;
"2025";"Mariekerke";;
"2025";"Markelo";;
"2025";"De Marne";;
"2025";"Marum";;
"2025";"Maurik";;
"2025";"Medemblik";45934;379
"2025";"Meerlo-Wanssum";;
"2025";"Meerssen";18460;691
"2025";"Meierijstad";84711;460
"2025";"Meijel";;
"2025";"Menaldumadeel";;
"2025";"Menameradiel";;
"2025";"Menterwolde";;
"2025";"Meppel";36271;654
"2025";"Middelburg (Z.)";50152;1037
"2025";"Middelharnis";;
"2025";"Midden-Delfland";19423;412
"2025";"Midden-Drenthe";34021;100
"2025";"Midden-Groningen";61387;221
"2025";"Middenschouwen";;
"2025";"Middenveld";;
"2025";"Mierlo";;
"2025";"Mill en Sint Hubert";;
"2025";"Millingen aan de Rijn";;
"2025";"Moerdijk";38273;240
"2025";"Moergestel";;
"2025";"Molenlanden";45363;250
"2025";"Molenwaard";;
"2025";"Monster";;
"2025";"Montferland";36996;350
"2025";"Montfoort";13772;366
"2025";"Mook en Middelaar";8102;466
"2025";"Moordrecht";;
"2025";"Muiden";;
"2025";"Naaldwijk";;
"2025";"Naarden";;
"2025";"Neder-Betuwe";25781;430
"2025";"Nederhorst den Berg";;
"2025";"Nederlek";;
"2025";"Nederweert";17512;175
"2025";"Neede";;
"2025";"Neerijnen";;
"2025";"Niedorp";;
"2025";"Nieuwegein";66788;2852
"2025";"Nieuwerkerk aan den IJssel";;
"2025";"Nieuw-Ginneken";;
"2025";"Nieuwkoop";29521;376
"2025";"Nieuw-Lekkerland";;
"2025";"Nieuwleusen";;
"2025";"Nieuw-Vossemeer";;
"2025";"Nijefurd";;
"2025";"Nijeveen";;
"2025";"Nijkerk";45720;660
"2025";"Nijmegen";189007;3579
"2025";"Nissewaard";88341;1205
"2025";"Noardeast-Fryslân";45864;121
"2025";"Noord-Beveland";8046;94
"2025";"Noordenveld";31751;160
"2025";"Noorder-Koggenland";;
"2025";"Noordoostpolder";50788;111
"2025";"Noordwijk";45929;787
"2025";"Noordwijkerhout";;
"2025";"Nootdorp";;
"2025";"Norg";;
"2025";"Nuenen, Gerwen en Nederwetten";24290;722
"2025";"Nunspeet";29393;228
"2025";"Nuth";;
"2025";"Obdam";;
"2025";"Odoorn";;
"2025";"Oegstgeest";26058;3573
"2025";"Oirschot";19536;192
"2025";"Oisterwijk";33108;413
"2025";"Oldambt";39586;175
"2025";"Oldebroek";24417;250
"2025";"Oldenzaal";32021;1486
"2025";"Olst";;
"2025";"Olst-Wijhe";19003;167
"2025";"Ommen";19249;107
"2025";"Onderbanken";;
"2025";"Oost Gelre";30048;273
"2025";"Oost-, West- en Middelbeers";;
"2025";"Oostburg";;
"2025";"Oosterhesselen";;
"2025";"Oosterhout";58380;817
"2025";"Oostflakkee";;
"2025";"Ooststellingwerf";25925;116
"2025";"Oostzaan";9733;842
"2025";"Ootmarsum";;
"2025";"Openbaar Lichaam Z.IJ.P.";;
"2025";"Opmeer";12491;301
"2025";"Opsterland";30012;134
"2025";"Oss";95239;588
"2025";"Ossendrecht";;
"2025";"Oud en Nieuw Gastel";;
"2025";"Oud-Beijerland";;
"2025";"Oude IJsselstreek";39499;290
"2025";"Oudenbosch";;
"2025";"Ouder-Amstel";14532;607
"2025";"Ouderkerk";;
"2025";"Oudewater";10355;266
"2025";"Overbetuwe";48945;449
"2025";"Papendrecht";32299;3431
"2025";"Peel en Maas";45881;288
"2025";"Peize";;
"2025";"Pekela";12459;254
"2025";"Pijnacker";;
"2025";"Pijnacker-Nootdorp";58126;1576
"2025";"Prinsenbeek";;
"2025";"Purmerend";95912;1025
"2025";"Putte";;
"2025";"Putten";24953;293
"2025";"Raalte";38623;226
"2025";"Raamsdonk";;
"2025";"Ravenstein";;
"2025";"Reeuwijk";;
"2025";"Reiderland";;
"2025";"Reimerswaal";23335;229
"2025";"Renkum";31490;685
"2025";"Renswoude";5782;314
"2025";"Reusel";;
"2025";"Reusel-De Mierden";13653;175
"2025";"Rheden";43782;535
"2025";"Rhenen";20392;485
"2025";"Ridderkerk";47999;2045
"2025";"Riethoven";;
"2025";"Rijnsburg";;
"2025";"Rijnwaarden";;
"2025";"Rijnwoude";;
"2025";"Rijsbergen";;
"2025";"Rijssen";;
"2025";"Rijssen-Holten";38836;413
"2025";"Rijswijk (ZH.)";60717;4344
"2025";"Roden";;
"2025";"Roerdalen";20836;236
"2025";"Roermond";61210;1009
"2025";"Roggel en Neer";;
"2025";"Rolde";;
"2025";"De Ronde Venen";45921;461
"2025";"Roosendaal";77721;730
"2025";"Roosendaal en Nispen";;
"2025";"Rosmalen";;
"2025";"Rossum";;
"2025";"Rotterdam";672960;3081
"2025";"Rozenburg";;
"2025";"Rozendaal";1836;66
"2025";"Rucphen";23995;373
"2025";"Ruinen";;
"2025";"Ruinerwold";;
"2025";"Ruurlo";;
"2025";"Sas van Gent";;
"2025";"Sassenheim";;
"2025";"Schagen";48378;288
"2025";"Scheemda";;
"2025";"Schermer";;
"2025";"Scherpenzeel";10539;764
"2025";"Schiedam";82232;4618
"2025";"Schiermonnikoog";971;23
"2025";"Schijndel";;
"2025";"Schinnen";;
"2025";"Schipluiden";;
"2025";"Schoonebeek";;
"2025";"Schoonhoven";;
"2025";"Schoorl";;
"2025";"Schouwen-Duiveland";34412;151
"2025";"Sevenum";;
"2025";"Simpelveld";10270;641
"2025";"Sint Anthonis";;
"2025";"Sint-Michielsgestel";30176;517
"2025";"Sint-Oedenrode";;
"2025";"Sittard";;
"2025";"Sittard-Geleen";92491;1177
"2025";"Skarsterlân";;
"2025";"Sleen";;
"2025";"Sliedrecht";26601;2071
"2025";"Slochteren";;
"2025";"Sluis";23094;83
"2025";"Sluis-Aardenburg";;
"2025";"Smallingerland";57084;487
"2025";"Smilde";;
"2025";"Sneek";;
"2025";"Soest";47999;1038
"2025";"Someren";20200;252
"2025";"Son en Breugel";18131;699
"2025";"Spijkenisse";;
"2025";"Sprang-Capelle";;
"2025";"St. Anthonis";;
"2025";"Stad Delden";;
"2025";"Stadskanaal";32038;272
"2025";"Standdaarbuiten";;
"2025";"Staphorst";17968;134
"2025";"Stede Broec";22253;1537
"2025";"Steenbergen";24567;168
"2025";"Steenderen";;
"2025";"Steenwijk";;
"2025";"Steenwijkerland";45716;159
"2025";"Stein (L.)";24653;1178
"2025";"Stichtse Vecht";66130;689
"2025";"Stramproy";;
"2025";"Strijen";;
"2025";"Súdwest-Fryslân";90534;173
"2025";"Susteren";;
"2025";"Swalmen";;
"2025";"Tegelen";;
"2025";"Terheijden";;
"2025";"Terneuzen";55653;222
"2025";"Terschelling";4923;56
"2025";"Teteringen";;
"2025";"Texel";13846;85
"2025";"Teylingen";38411;1356
"2025";"Tholen";26942;184
"2025";"Thorn";;
"2025";"Tiel";42575;1298
"2025";"Tilburg";230357;1830
"2025";"Tubbergen";21507;146
"2025";"Twenterand";34113;321
"2025";"Tynaarlo";35011;245
"2025";"Tytsjerksteradiel";32821;221
"2025";"Ubbergen";;
"2025";"Uden";;
"2025";"Udenhout";;
"2025";"Uitgeest";13427;701
"2025";"Uithoorn";32115;1772
"2025";"Urk";22173;1687
"2025";"Utrecht (gemeente)";376757;4018
"2025";"Utrechtse Heuvelrug";50945;386
"2025";"Vaals";10007;419
"2025";"Valburg";;
"2025";"Valkenburg (ZH.)";;
"2025";"Valkenburg aan de Geul";16464;448
"2025";"Valkenisse";;
"2025";"Valkenswaard";31955;582
"2025";"Veendam";27687;365
"2025";"Veenendaal";70352;3622
"2025";"Veere";21945;165
"2025";"Veghel";;
"2025";"Veldhoven";47601;1503
"2025";"Velsen";70026;1555
"2025";"Venhuizen";;
"2025";"Venlo";103984;837
"2025";"Venray";44807;275
"2025";"Vessem, Wintelre en Knegsel";;
"2025";"Vianen";;
"2025";"Vierlingsbeek";;
"2025";"Vijfheerenlanden";62554;428
"2025";"Vlaardingen";77260;3307
"2025";"Vlagtwedde";;
"2025";"Vledder";;
"2025";"Vleuten-De Meern";;
"2025";"Vlieland";1217;29
"2025";"Vlijmen";;
"2025";"Vlissingen";45755;1331
"2025";"Vlist";;
"2025";"Voerendaal";12583;399
"2025";"Voorburg";;
"2025";"Voorhout";;
"2025";"Voorne aan Zee";74527;612
"2025";"Voorschoten";25900;2331
"2025";"Voorst";25567;208
"2025";"Vorden";;
"2025";"Vries";;
"2025";"Vriezenveen";;
"2025";"Vught";33010;550
"2025";"Waadhoeke";46857;164
"2025";"Waalre";17898;800
"2025";"Waalwijk";51241;794
"2025";"Waddinxveen";35031;1262
"2025";"Wageningen";42790;1407
"2025";"Warmond";;
"2025";"Warnsveld";;
"2025";"Waspik";;
"2025";"Wassenaar";27525;538
"2025";"Wateringen";;
"2025";"Waterland";17556;338
"2025";"Weerselo";;
"2025";"Weert";51355;493
"2025";"Weesp";;
"2025";"Wehl";;
"2025";"Werkendam";;
"2025";"Wervershoof";;
"2025";"West Betuwe";53253;247
"2025";"West Maas en Waal";20594;270
"2025";"Westerbork";;
"2025";"Westerhoven";;
"2025";"Wester-Koggenland";;
"2025";"Westerkwartier";64841;179
"2025";"Westerschouwen";;
"2025";"Westerveld";19983;72
"2025";"Westervoort";15205;2168
"2025";"Westerwolde";27421;99
"2025";"Westkapelle";;
"2025";"Westland";116916;1448
"2025";"Weststellingwerf";26596;121
"2025";"Westvoorne";;
"2025";"Wierden";25342;268
"2025";"Wieringen";;
"2025";"Wieringermeer";;
"2025";"Wijchen";41836;634
"2025";"Wijdemeren";24670;519
"2025";"Wijhe";;
"2025";"De Wijk";;
"2025";"Wijk bij Duurstede";23831;501
"2025";"Willemstad";;
"2025";"Winschoten";;
"2025";"Winsum";;
"2025";"Winterswijk";29232;212
"2025";"Wisch";;
"2025";"Wittem";;
"2025";"Woensdrecht";22194;242
"2025";"Woerden";53976;610
"2025";"Wognum";;
"2025";"De Wolden";24672;110
"2025";"Wormerland";16421;426
"2025";"Woudenberg";14760;404
"2025";"Woudrichem";;
"2025";"Wouw";;
"2025";"Wûnseradiel";;
"2025";"Wymbritseradiel";;
"2025";"Zaanstad";162828;2208
"2025";"Zaltbommel";30412;387
"2025";"Zandvoort";17374;542
"2025";"Zederik";;
"2025";"Zeevang";;
"2025";"Zeewolde";24291;98
"2025";"Zeist";66671;1375
"2025";"Zelhem";;
"2025";"Zevenaar";45215;488
"2025";"Zevenbergen";;
"2025";"Zevenhuizen-Moerkapelle";;
"2025";"Zierikzee";;
"2025";"Zijpe";;
"2025";"Zoetermeer";129862;3772
"2025";"Zoeterwoude";10141;479
"2025";"Zuidhorn";;
"2025";"Zuidlaren";;
"2025";"Zuidplas";48726;841
"2025";"Zuidwolde";;
"2025";"Zundert";22809;189
"2025";"Zutphen";49028;1198
"2025";"Zwartewaterland";23507;285
"2025";"Zwartsluis";;
"2025";"Zweeloo";;
"2025";"Zwijndrecht";44669;2200
"2025";"Zwolle";133810;1209
